edge_idx,u,v
0,0,1
1,0,6
2,0,25
3,1,2
4,1,42
5,2,3
6,2,38
7,3,4
8,3,34
9,4,5
10,4,30
11,5,6
12,5,26
13,6,21
14,7,9
15,7,12
16,7,44
17,8,10
18,8,13
19,8,36
20,9,11
21,9,28
22,10,12
23,10,47
24,11,13
25,11,40
26,12,32
27,13,23
28,14,17
29,14,18
30,14,50
31,15,18
32,15,19
33,15,52
34,16,19
35,16,20
36,16,54
37,17,20
38,17,55
39,18,49
40,19,51
41,20,53
42,21,22
43,21,29
44,22,23
45,22,51
46,23,24
47,24,25
48,24,53
49,25,46
50,26,27
51,26,33
52,27,28
53,27,50
54,28,29
55,29,52
56,30,31
57,30,37
58,31,32
59,31,54
60,32,33
61,33,55
62,34,35
63,34,41
64,35,36
65,35,49
66,36,37
67,37,51
68,38,39
69,38,45
70,39,40
71,39,53
72,40,41
73,41,50
74,42,43
75,42,48
76,43,44
77,43,52
78,44,45
79,45,54
80,46,47
81,46,55
82,47,48
83,48,49
